target,level,branching,detectionTask,onset
-3+)-4)(2(1,0,none,0,3935
1+)3-(4+2)(,2,right,0,8207
3+(2-(1+4)),3,right,0,12143
-+)4()1+3(2,1,right,0,16165
1+(4-(3-2)),3,right,0,19989
2+(1-(3-4)),3,right,0,24243
((4+2)-3)+@,3,left,1,28052
3+(2-(1-4)),3,right,0,31903
3+-1)2()(+4,0,none,0,36013
1-(2+(4-3)),3,right,0,39900
+2-))1(3(+4,0,none,0,44247
1)4-2(+()3+,1,left,0,47809
)(1+4)-3(+2,2,left,0,51810
((3-2)+4)+1,3,left,0,56215
)(2-1)+3(-4,2,left,0,59772
((2-1)+4)+3,3,left,0,63980
4)1+3()(-2-,1,left,0,68230
1)-2+)(3(4+,0,none,0,72225
((3-4)+2)+1,3,left,0,76011
((3+1)-2)+4,3,left,0,79890
)2+-3-)4(1(,0,none,0,83852
)(1+2)-4(3+,2,left,0,88211
4)1)-(2(+3+,0,none,0,91815
))1-3(+2(4+,1,left,0,96178
2(+-1)3()-4,0,none,0,99930
)(4-2)+3(@+,2,left,1,103970
)(1-2)+4(3+,2,left,0,108211
+2)4-(1-3)(,2,right,0,111889
1-(3+(4+2)),3,right,0,116034
3-)4+(2-1)(,2,right,0,119949
3)2+4(--1)(,1,left,0,123997
((1+3)-4)-2,3,left,0,128047
@2(--)3)4(1,0,none,1,131934
)3+)-4(-1(2,0,none,0,135840
2-(1+(4-3)),3,right,0,140044
4)1-)2(+3-(,0,none,0,143902
-(4+))3+1(2,1,right,0,147754
((1-2)+3)+4,3,left,0,152164
4)3-2((+)1+,1,left,0,155843
2+)(4-)3(1-,0,none,0,159917
-4+)()2+3(1,1,right,0,163974
2-(+)+1)3(4,0,none,0,168098
1+(4-(3+2)),3,right,0,172138
((2-4)+1)-3,3,left,0,175797
1)2-)++(4(3,0,none,0,179800
((1+3)-2)-4,3,left,0,183975
)(4-3)+1(+2,2,left,0,187771
))3-1(+2+(4,1,left,0,191997
3(-)4)1+@2(,0,none,1,196028
+2)1-(4-3)(,2,right,0,199787
3+(1-(2+4)),3,right,0,203946
3-)1+)4+2((,1,right,0,207827
-3)2+(1+4)(,2,right,0,212141
)(2+4)-3(1-,2,left,0,216195
))4-3(+1-(2,1,left,0,219785
1-)+)3+(4(2,0,none,0,223986
2(+-3)1-4(),1,right,0,227822
2)1+4(-()+3,1,left,0,231798
)(3+4)-2(1+,2,left,0,235979
((2-4)+3)+1,3,left,0,239866
-+4)@)2-3(1,1,right,1,244163
3+)1-)2-4((,1,right,0,247803
((1-2)+4)-3,3,left,0,252065
)+1(-)3-2(4,1,right,0,255991
((4+1)-3)+2,3,left,0,260160
1)4-3()2(+-,1,left,0,263930
2+(4-(3+1)),3,right,0,267814
)(3-4)+2(-1,2,left,0,272090
-@)4+(2+3)(,2,right,1,275930
4)1+)(2(-3-,0,none,0,279814
+2)(-)4-1(3,1,right,0,283922
4-(3+(1-2)),3,right,0,288190
4)-+2)(+1(3,0,none,0,291877
+)2-()4+1(3,1,right,0,295930
-@))2(3+(+4,0,none,1,300212
))4+2(3--1(,1,left,0,303847
1)2+4()(-3-,1,left,0,308104
4-(3+(2+1)),3,right,0,311905
1(+)4)2-3(@,1,right,1,316174
1+)3-(2+4)(,2,right,0,319832
-1)3+(2-4)(,2,right,0,324113
2+(3-(4-1)),3,right,0,328221
2-)4+(1-3)(,2,right,0,331778
)-(3+)2-4(1,1,right,0,336113
3+-4()2-)1(,0,none,0,339927
1-(4+(2-@)),3,right,1,344043
1)(-2+)4(3-,0,none,0,347795
2)4+3((-)1+,1,left,0,351944
))2-3(1++(4,1,left,0,356093
4+-1()3-2(),1,right,0,360021
1+-3+)4()(2,0,none,0,363938
1()+3-)4(+2,0,none,0,368191
)(2+1)-3(4+,2,left,0,372143
)(3+1)-2(-4,2,left,0,376054
1))+2(3-+(4,0,none,0,380067
4-)2+(1+3)(,2,right,0,383858
+1)3-(4+2)(,2,right,0,387980
3+)1-(@-2)(,2,right,1,391860
3-)4(+)-2(1,0,none,0,396122
3+(1@(4+2)),3,right,1,400227
3(-(1++2))4,0,none,0,403802
)(2-4)+3(-1,2,left,0,407881
)-+1()2-4(3,1,right,0,411890
2-(1+(4+3)),3,right,0,415794
)(2+3@-1(-4,2,left,1,419770
3-)4+(2-1)(,2,right,0,424168
)(3-1)+2(-4,2,left,0,428093
2)3-1()(@+-,1,left,1,431954
4)3+()(1--2,0,none,0,435840
3-)2+(4+1)(,2,right,0,440087
3)4+)(1--2(,0,none,0,444060
)+2()4(3--1,0,none,0,448064
2+)1-(3-4)(,2,right,0,452167
)(4-3)+2(1-,2,left,0,456167
)(4+3)-1(+2,2,left,0,459840
+)4-)2(1(-3,0,none,0,463951
4+(2-(1+3)),3,right,0,467950
((4+3)-1)-2,3,left,0,471760
)3((4+)2--1,0,none,0,475752
(-2+))4+1(3,1,right,0,480070
((4+1)-2)-3,3,left,0,484045
+2-)()4+3(1,1,right,0,488054
3-(4+(2-1)),3,right,0,492228
3-)2+(4-1)(,2,right,0,495931
+4)1-(3+2)(,2,right,0,499814
-)1+()3+2(4,1,right,0,504119
((1+4)-3)-2,3,left,0,508227
4))2-+1(+(3,0,none,0,512066
()3+-)2-4(1,1,right,0,516036
4+)2-(1-3)(,2,right,0,520083
))1-3(2+(+4,1,left,0,523951
(1+-))4-2(3,1,right,0,527810
)(4-2)+1(3-,2,left,0,531798
2)3(-++)4(1,0,none,0,535884
3)2+4(-)(+1,1,left,0,540101
3-()+4)1(+2,0,none,0,543847
2)4-1()(+3-,1,left,0,548242
((4+2)-1)-3,3,left,0,551852
)-4)+3(1(2+,0,none,0,555863
))3+1(4-(@2,1,left,1,559831
((2-1)+3)+4,3,left,0,563901
)(1-3)+4(2-,2,left,0,567974
)(1+3)-4(+2,2,left,0,571855
))3+1(-4(-2,1,left,0,575997
4(-)+)1+3(2,1,right,0,579998
-2)1+(3+4)(,2,right,0,584003
((4-3)+2)-1,3,left,0,588098
1+-2(()3)4-,0,none,0,591942
4-(3+(2-1)),3,right,0,595907
)(4+2)-1(+3,2,left,0,599942
((3+2)-1)+4,3,left,0,603789
+4-)2((1+)3,0,none,0,607791
((2-@)+1)-4,3,left,1,612164
1))3(-4+-(2,0,none,0,615930
-2)+1-)3(4(,0,none,0,620179
3)2+1(()--4,1,left,0,624107
4+)1-(3+2)(,2,right,0,628147
3-(4+(1+2)),3,right,0,631985
2)3(-(+4+)1,0,none,0,635827
)4+)1-(@2(3,0,none,1,639949