prime,target,primeCategory,targetCategory,detectionTask,onset
sin(a)-b,cos(x*y),1,3,0,3984
@-tan(a),sin(x)+y,2,1,1,7764
cos(a)+b,log(x*y),1,3,0,12228
b)(cos,x)(log,7,7,0,16148
log(a),tan(y),4,4,0,19778
y)log*x(,a)cos+b(,6,6,0,24014
log(x-y),cos(b*a),3,3,0,27858
tan(b)-a,lo@(x+y),1,3,1,31998
y)(tan,a)(cos,7,7,0,35782
log(y),(a+b),4,5,0,39983
a)(log,x)(sin,7,7,0,43980
(a-b@,(y*x),5,5,1,48249
a)cos-b(,x)tan*y(,6,6,0,52216
a)(log,y)(tan,7,7,0,55766
(y-x),cos(a),5,4,0,60124
log(a),cos@y),4,4,1,63818
y)(tan,b)(cos,7,7,0,67830
log(x*y),b+cos(a),3,2,0,71821
sin(a)-b,cos(x)*y,1,1,0,76099
cos(x*y),sin(a)-b,3,1,0,79810
tan(a)*b,y-sin(x),1,2,0,84054
log(x*y),cos(b+a),3,3,0,88138
tan(a)*b,cos(y)-x,1,1,0,91763
x-log(y),cos(b*a),2,3,0,96056
x)tan*y(,a)cos-b(,6,6,0,100068
(x*y),(b-a),5,5,0,104128
tan(b),(y-x),4,5,0,107926
cos(a)+b,log(x)*y,1,1,0,111895
tan(@-b),y+sin(x),3,2,1,115991
a*tan(b),y-sin(x),2,2,0,120185
cos(a+b),y*sin(x),3,2,0,123801
b*log(a),sin(x)+y,2,1,0,128142
(a+b),log(y),5,4,0,131947
(b+a),cos(y),5,4,0,136045
a)(sin,y)(cos,7,7,0,140070
log(x)+y,sin(a)-b,1,1,0,144060
cos(y-x),tan(a*b),3,3,0,148046
x*log(y),cos(b+a),2,3,0,152121
sin(y*x),a+cos(b),3,2,0,155807
log(x)*y,cos(a)+b,1,1,0,159861
(x-y),sin(b),5,4,0,164023
log(a),(y+x),4,5,0,167784
y)(cos,a)(sin,7,7,0,172140
(b*a),(x-y),5,5,0,176115
x)sin*y(,b)tan-a(,6,6,0,180070
cos(x)*y,sin(a-b),1,3,0,184156
x+sin(y),b*log(a),2,2,0,188067
y-sin(x),tan(a)*b,2,1,0,192028
tan(b)@a,sin(x)+y,1,1,1,195896
cos(y),tan(b),4,4,0,200042
log(y),(a+b),4,5,0,203948
a)b(*,x)y(-,8,8,0,207944
a)(t@n,y)(log,7,7,1,211792
cos(y),(b+a),4,5,0,215871
x)y(*,b)a(-,8,8,0,220043
cos(y)-x,tan(a)*b,1,1,0,223871
(b*a),log(x),5,4,0,228124
y)x(+,b)a(*,8,8,0,232200
(x-y),(b*a),5,5,0,236095
x)sin-y(,b)cos+a(,6,6,0,240053
b*cos(a),log(x-y),2,3,0,244200
sin(y)-x,tan(a)*b,1,1,0,248242
log(x),sin(b),4,4,0,251790
(x*y),sin(b),5,4,0,256169
b)cos+a(,x)sin-y(,6,6,0,259816
cos(a),(y-x),4,5,0,264109
x)(log,b)(cos,7,7,0,268210
a-sin(b),log(x)+y,2,1,0,271849
y)x(*,b)a(-,8,8,0,275881
y*sin(x),a+cos(b),2,2,0,279823
y)(tan,a)(log,7,7,0,283856
cos(x),sin(b),4,4,0,288146
(y+x),log(a),5,4,0,292135
sin(y*x),cos(a+b),3,3,0,295900
a)tan+b(,y)cos-x(,6,6,0,300208
b)a(-,y)x(*,8,8,0,303943
log(x-y),b*cos(a),3,2,0,308193
cos(y)-x,tan(a*b),1,3,0,311801
log(b)*a,x+sin(y),1,2,0,316174
cos(a+b),sin(y*x),3,3,0,320187
log(x)*y,cos(a+b),1,3,0,323832
sin(b),(x-y),4,5,0,327912
(b-a),(y*@),5,5,1,332182
sin(y)-x,a*tan(b),1,2,0,335971
a)(cos,y)(tan,7,7,0,339945
(y+x),(a-b),5,5,0,344062
log(x)+y,a-sin(b),1,2,0,347870
a+cos(b),sin(y*x),2,3,0,351956
x+log(y),sin(a)-b,2,1,0,356021
cos(b+a),log(x*y),3,3,0,360046
cos(a),log(y),4,4,0,363951
tan(a)*b,sin(y)-x,1,1,0,367982
sin(a-b),cos(x)*y,3,1,0,371939
@-tan(b),y+sin(x),2,2,1,375840
(y*x),cos(a),5,4,0,380187
tan(b)*a,cos(y)@x,1,1,1,384056
(a+b),(y-x),5,5,0,388119
tan(b)-a,log(x)+@,1,1,1,392232
a)(log,y)(ta@,7,7,1,395966
(a+b),log(y),5,4,0,399758
(b-a),(x*y),5,5,0,404078
sin(b),cos(x),4,4,0,408025
(b+a),(y-x),5,5,0,412105
(b-a),cos(x),5,4,0,415954
cos(b+a),x*log(y),3,2,0,420160
(y-x),(a+b),5,5,0,423895
cos(x*y),sin(a-b),3,3,0,427857
y-sin(x),a*tan(b),2,2,0,432147
(a-b),(y+x),5,5,0,435955
log(y),cos(a),4,4,0,440138
(a+b),(y*x),5,5,0,443763
b*cos(a),x-log(y),2,2,0,448189
cos(a+b),log(x)*y,3,1,0,451952
cos(b*a),log(x-y),3,3,0,455798
sin(x)+y,log(b)*a,1,1,0,459826
tan(a*b),cos(y-x),3,3,0,464091
@)cos*b(,y)log-x(,6,6,1,467918
sin(x)+y,b*log(a),1,2,0,472091
cos(a),(y*x),4,5,0,476000
sin(b),(x*y),4,5,0,480126
cos(a+b),log(x*y),3,3,0,484090
b+cos(a),x*log(y),2,2,0,487959
tan(b),cos(y),4,4,0,491992
cos(b*a),x-log(y),3,2,0,495961
tan(y),(a-b),4,5,0,499999
sin(b),log(x),4,4,0,503858
a)sin*b(,y)tan-x(,6,6,0,507786
y)tan-x(,a)sin*b(,6,6,0,511792
tan(a)*b,cos(y-x),1,3,0,516007
b)(s@n,y)(log,7,7,1,519872
(y-x),(b+a),5,5,0,523977
log(x),(b*a),4,5,0,528225
x)(sin,a)(log,7,7,0,531760
a)cos+b(,y)log*x(,6,6,0,535942
(y*x),(a+b),5,5,0,539913
log(b)*a,sin(x)+y,1,1,0,543855
b)tan-a(,x)sin*y(,6,6,0,548025
log(y),cos(a),4,4,0,551895
(y-x),tan(b),5,4,0,555865
b)(cos,y)(tan,7,7,0,559778
y)x(*,a)b(+,8,8,0,564105
b)a(*,y)x(+,8,8,0,567954
cos(x)*y,sin(a)-b,1,1,0,571988
b)a(-,x)y(*,8,8,0,575927
a)(cos,y)(@og,7,7,1,579910
a)b(+,y)x(*,8,8,0,583914
log(x*y),cos(a+b),3,3,0,587985
sin(a-b),cos(x*y),3,3,0,592218
(a-b),cos(@),5,4,1,595872
a+cos(b),y*sin(x),2,2,0,600050
x+log(y),a-sin(b),2,2,0,604094
b+sin(a@,x-tan(y),2,2,1,607958
cos(a),log(y),4,4,0,612040
a-sin(b),x+log(y),2,2,0,615912
(a-b),tan(y),5,4,0,619935
x*log(y),b+cos(a),2,2,0,624056
b*tan(a),@in(x)+y,2,1,1,627837
sin(a)-b,x+log(y),1,2,0,632198
y*sin(x),cos(a+b),2,3,0,636235
tan(@*a),cos(y-x),3,3,1,640146
sin(a)-b,log(x)+y,1,1,0,644187
tan(y),log(a),4,4,0,647967
x+sin(y),log(b)*a,2,1,0,651794
cos(x),(b-a),4,5,0,655767
b)a(-,x)y(*,8,8,0,660150
b*log(a),x+sin(y),2,2,0,663948
y)cos-x(,a)tan+b(,6,6,0,668123
cos(y-x),tan(a)*b,3,1,0,672134
x)y(*,b)a(-,8,8,0,675811
b-tan(a),x@sin(y),2,2,1,680223
tan(a*b),cos(y)-x,3,1,0,684235
x-log(y),b*cos(a),2,2,0,688082
log(x*y),cos(a)+b,3,1,0,691768
b+cos(a),log(x*y),2,3,0,696222
x)y(-,a)b(*,8,8,0,699900
a*tan(b),sin(y)-x,2,1,0,703852